variant,method,tc,vc,cc,ri,ex,n
clean,squid,0.8559287615521051,0.8167994068141908,0.3448070696892385,0.9853020134228186,0.9932885906040269,149
clean,baseline,0.156606123507468,0.15971365022907086,0.08071596806181879,1.0,0.16145833333333334,192
bird_type1_contradictory_L1,squid,0.8869278363420089,0.7825775626895161,0.3484373815058656,0.9768315972222222,0.9947916666666666,192
bird_type1_contradictory_L1,baseline,0.17035880921378968,0.17017624990775196,0.08679360063495463,1.0,0.171875,192
bird_type1_contradictory_L2,squid,0.8760032276947527,0.772085689760135,0.32899121230962436,0.9820572916666669,0.9895833333333334,192
bird_type1_contradictory_L2,baseline,0.16419117059702318,0.1527632310395415,0.0779553593427594,1.0,0.171875,192
bird_type1_contradictory_L3,squid,0.8882822087918195,0.7749771510044989,0.3232650509911672,0.9774363425925928,0.9947916666666666,192
bird_type1_contradictory_L3,baseline,0.1365333018201955,0.13853861661308517,0.07159976992627111,1.0,0.15104166666666666,192
bird_type2_missing_L1,squid,0.8529706196052192,0.7576179595506416,0.3275940870635126,0.9753055555555556,1.0,80
bird_type2_missing_L1,baseline,0.14419698524837968,0.14859585460398508,0.0733543430008501,1.0,0.140625,192
bird_type2_missing_L2,squid,0.8483017785421879,0.7421758904958126,0.29662891560991406,0.987717013888889,1.0,192
bird_type2_missing_L2,baseline,0.1327679048382173,0.13268679291628513,0.06430646673566594,1.0,0.13020833333333334,192
bird_type2_missing_L3,squid,0.7862616843911123,0.6446584289130187,0.2516210595458741,0.9867655974426807,1.0,192
bird_type2_missing_L3,baseline,0.12742074288222544,0.11675242218483499,0.052146439101380955,1.0,0.13541666666666666,192
bird_type3_duplicates_L1,squid,0.8527648270345103,0.7900569109297687,0.34009760492896834,0.9836284722222222,0.9895833333333334,192
bird_type3_duplicates_L1,baseline,0.17334413205739743,0.17243053471194367,0.08594619596873639,1.0,0.17708333333333334,192
bird_type3_duplicates_L2,squid,0.8877637459396791,0.7897809117914649,0.3377960176273811,0.9822743055555555,0.9947916666666666,192
bird_type3_duplicates_L2,baseline,0.16456223310471357,0.17213457206132984,0.08680872034143518,1.0,0.16145833333333334,192
bird_type3_duplicates_L3,squid,0.8481853670305676,0.8051626356901047,0.3355157269280951,0.9808276643990929,0.9863945578231292,147
bird_type3_duplicates_L3,baseline,0.16000335297920013,0.15775058314972468,0.07811753396612134,1.0,0.15625,192
bird_type4_structural_L1,squid,0.8839491287557911,0.792081011499488,0.33438649040218565,0.9808407738095241,0.9947916666666666,192
bird_type4_structural_L1,baseline,0.1501817122743381,0.15591453373662909,0.07798591903561018,1.0,0.15104166666666666,192
bird_type4_structural_L2,squid,0.8742130890778347,0.7807315541947414,0.3368529823180611,0.9636470734126981,0.9895833333333334,192
bird_type4_structural_L2,baseline,0.15397267768980386,0.1597268967834693,0.078800183976533,1.0,0.13541666666666666,192
bird_type4_structural_L3,squid,0.8851645215782792,0.7826669441334313,0.3521259067872043,0.9795898437500004,0.9947916666666666,192
bird_type4_structural_L3,baseline,0.14311932117874385,0.14460653333632079,0.07246561645180832,1.0,0.15625,192
